task_id,patient_id,phase,z_index,slice_id,batch_index,branch_index,test_fraction,paper_lambda,balanced_entropy,weight
23,A1K2P5,ES,5,A1K2P5_ES_slice005,20,5,1.0,0.0,0.007126767188310623,0.19463913142681122
23,A1K2P5,ES,6,A1K2P5_ES_slice006,21,0,0.0,1.0,0.010707112960517406,0.08693215996026993
23,A1K2P5,ES,6,A1K2P5_ES_slice006,21,1,0.2,0.8,0.009055165573954582,0.1395387202501297
23,A1K2P5,ES,6,A1K2P5_ES_slice006,21,2,0.4,0.6,0.009403768926858902,0.12627747654914856
23,A1K2P5,ES,6,A1K2P5_ES_slice006,21,3,0.6,0.4,0.007723516318947077,0.20434385538101196
23,A1K2P5,ES,6,A1K2P5_ES_slice006,21,4,0.8,0.19999999999999996,0.00768515607342124,0.20660169422626495
23,A1K2P5,ES,6,A1K2P5_ES_slice006,21,5,1.0,0.0,0.007216203957796097,0.2363060861825943
23,A1K2P5,ES,7,A1K2P5_ES_slice007,22,0,0.0,1.0,0.013798953033983707,0.22785335779190063
23,A1K2P5,ES,7,A1K2P5_ES_slice007,22,1,0.2,0.8,0.014241233468055725,0.15084204077720642
23,A1K2P5,ES,7,A1K2P5_ES_slice007,22,2,0.4,0.6,0.01397288404405117,0.19373568892478943
23,A1K2P5,ES,7,A1K2P5_ES_slice007,22,3,0.6,0.4,0.01440939400345087,0.12894774973392487
23,A1K2P5,ES,7,A1K2P5_ES_slice007,22,4,0.8,0.19999999999999996,0.013862218707799911,0.21479862928390503
23,A1K2P5,ES,7,A1K2P5_ES_slice007,22,5,1.0,0.0,0.014871228486299515,0.0838225707411766
23,A1K2P5,ES,8,A1K2P5_ES_slice008,23,0,0.0,1.0,0.009440320543944836,0.17686712741851807
23,A1K2P5,ES,8,A1K2P5_ES_slice008,23,1,0.2,0.8,0.008747088722884655,0.25768205523490906
23,A1K2P5,ES,8,A1K2P5_ES_slice008,23,2,0.4,0.6,0.009696921333670616,0.15386883914470673
